source,reference,MMT (baseline),LLM (base),BLEU (MMT base),BLEU (LLM base),BLEU (difference base MMT/LLM),chrF3 (MMT base),chrF3 (LLM base),chrF3 (difference base MMT/LLM),COMET (MMT base),COMET (LLM base),COMET (difference base MMT/LLM)
"Vaccination strategies have been developed for MERS by using inactivated virus, DNA plasmids, viral vectors, nanoparticles, virus-like particles and recombinant protein subunits and some have been evaluated in animal models.","Sono state sviluppate strategie di vaccinazione per la MERS usando virus inattivati, plasmidi del DNA, vettori virali, nanoparticelle, particelle virus-simili e sub unità di proteine ricombinanti, e alcune sono state valutate in modelli animali.","Sono state sviluppate strategie di vaccinazione per la MERS utilizzando virus inattivati, plasmidi di DNA, vettori virali, nanoparticelle, particelle simili a virus e subunità proteiche ricombinanti e alcune sono state valutate in modelli animali.","Sono state sviluppate strategie di vaccinazione per la MERS utilizzando virus inattivati, plasmidi di DNA, vettori virali, nanoparticelle, particelle simili a virus e sottounità proteiche ricombinanti e alcune sono state valutate in modelli animali.",62.78,62.78,0.0,86.731,85.06,1.671,0.917,0.916,0.001
"As a novel disease, COVID-19 has just started to manifest its full clinical course throughout thousands of patients.","In quanto nuova malattia, il COVID-19 ha appena iniziato a manifestare il suo intero decorso clinico in migliaia di pazienti.","Essendo una nuova malattia, il COVID-19 ha appena iniziato a manifestare il suo intero decorso clinico in migliaia di pazienti.","Come una malattia nuova, la COVID-19 ha appena iniziato a manifestare il suo completo corso clinico attraverso migliaia di pazienti.",90.213,45.733,44.48,92.854,72.771,20.083,0.924,0.892,0.032
"Therefore, building a prognosis model for the disease is essential for health-care agencies to prioritize their services, especially in resource-constrained areas.","Pertanto, costruire un modello di prognosi per la malattia è essenziale per le agenzie sanitarie per dare priorità ai loro servizi, specialmente in aree prive di risorse.","Pertanto, la costruzione di un modello di prognosi per la malattia è essenziale per le agenzie sanitarie per dare priorità ai loro servizi, specialmente nelle aree con risorse limitate.","Pertanto, creare un modello di prognosi per la malattia è essenziale per gli enti sanitari per dare priorità ai loro servizi, soprattutto in aree con risorse limitate.",68.849,53.997,14.852,83.775,70.447,13.328,0.951,0.943,0.008
"COVID-19 mainly happened at the age of 30-65 with 47.7% of those patients being over 50 in a study of 8,866 cases as described above.","Il COVID-19 si è verificato principalmente in persone con età dai 30 ai 65 anni, con il 47,7% di questi pazienti con età superiore ai 50 anni in uno studio di 8.866 casi descritto in precedenza.","Il COVID-19 si è verificato principalmente all'età di 30-65 anni con il 47,7% di quei pazienti che avevano più di 50 anni in uno studio su 8.866 casi come descritto sopra.","La COVID-19 si è verificata principalmente tra i 30 e 65 anni con il 47,7% dei pazienti sopra i 50 in uno studio di 8.866 casi come descritto sopra.",33.911,23.502,10.409,61.769,53.806,7.963,0.857,0.864,-0.007
Comorbidities and complications: Patients with COVID-19 who require intensive care are more likely to suffer from acute cardiac injury and arrhythmia.,Comorbilità e complicazioni: I pazienti con il COVID-19 che necessitano cure intensive hanno più probabilità di essere affetti da danni cardiaci acuti e aritmia.,Comorbidità e complicanze: i pazienti affetti da COVID-19 che necessitano di terapia intensiva hanno maggiori probabilità di soffrire di lesioni cardiache acute e aritmia.,Comorbidità e complicazioni: i pazienti con COVID-19 che richiedono cure intensive sono più suscettibili a subire un danno cardiaco acuto e aritmia.,12.37,12.645,-0.275,61.473,55.446,6.027,0.909,0.903,0.006
It is worth noting that age and underlying disease are strongly correlated and might interfere with each other.,È opportuno notare che l’età e le patologie pregresse sono fortemente correlate e potrebbero interferire l’una con le altre.,Vale la pena notare che l'età e la malattia sottostante sono fortemente correlate e potrebbero interferire l'una con l'altra.,È importante notare che l'età e la malattia sottostante sono fortemente correlate e potrebbero interferire l'una con l'altra.,28.728,29.452,-0.724,61.059,62.171,-1.112,0.922,0.928,-0.006
"In addition, elevated lactate dehydrogenase (LDH), aspartate aminotransferase (AST), alanine aminotransferase (ALT), and creatine kinase (CK) may also help predict the outcome.","Inoltre, anche elevati livelli di lattato deidrogenasi (LDH), aspartato aminotransferasi (AST), alanina aminotransferasi (ALT) e creatinchinasi (CK) potrebbero contribuire a prevedere l’esito.","Inoltre, elevati livelli di lattato deidrogenasi (LDH), aspartato aminotransferasi (AST), alanina aminotransferasi (ALT) e creatina chinasi (CK) possono anche aiutare a prevedere l'esito.","Inoltre, un aumento della lattato deidrogenasi (LDH), aspartato aminotransferasi (AST), alanina aminotransferasi (ALT) e creatina chinasi (CK) potrebbe anche aiutare a predire l'esito.",67.392,56.995,10.397,83.12,74.991,8.129,0.936,0.909,0.027
Major clinical symptoms: Chest radiography and temporal progression of clinical symptoms should be considered together with the other issues for the prediction of outcomes and complications of COVID-19.,Sintomi clinici principali: La radiografia toracica e la progressione temporale dei sintomi clinici dovrebbero essere prese in considerazione assieme agli altri sintomi nella previsione degli esiti e delle complicanze del COVID-19.,Principali sintomi clinici: la radiografia toracica e la progressione temporale dei sintomi clinici devono essere considerate insieme alle altre questioni per la previsione degli esiti e delle complicanze del COVID-19.,Sintomi clinici principali: la radiografia del torace e la progressione temporale dei sintomi clinici dovrebbero essere considerate insieme ad altre questioni per la previsione degli esiti e delle complicazioni della COVID-19.,49.589,44.356,5.233,75.813,75.156,0.657,0.864,0.87,-0.006
"Thus, if needed, steroids should be used at low dosage and for a short time in COVID-19 patients.","Pertanto, se necessario, gli steroidi dovrebbero essere utilizzati in basse dosi e per brevi periodi nei pazienti COVID-19.","Pertanto, se necessario, gli steroidi dovrebbero essere utilizzati a basso dosaggio e per un breve periodo nei pazienti COVID-19.","Pertanto, se necessario, gli steroidi dovrebbero essere utilizzati in dose bassa e per un breve periodo nei pazienti con COVID-19.",55.486,52.31,3.176,80.385,80.108,0.277,0.939,0.931,0.008
"According to demographic studies so far, COVID-19 seems to have different epidemiological features from SARS.","Secondo gli studi di popolazione effettuati finora, il COVID-19 sembra avere caratteristiche epidemiologiche differenti da quelle della SARS.","Secondo gli studi demografici finora, il COVID-19 sembra avere caratteristiche epidemiologiche diverse dalla SARS.","Secondo gli studi demografici fino ad ora, la COVID-19 sembra avere caratteristiche epidemiologiche diverse dal SARS.",44.244,27.081,17.163,68.205,60.213,7.992,0.903,0.887,0.016
"However, the transmission of SARS-CoV was considered to occur when the patients are severely ill, while most transmission did not happen at the early phase.","Tuttavia, si riteneva che la trasmissione del SARS-CoV avvenisse quando i pazienti erano gravemente malati, mentre la maggior parte della trasmissione non si verificava nella prima fase.","Tuttavia, la trasmissione di SARS-CoV è stata considerata verificarsi quando i pazienti sono gravemente malati, mentre la maggior parte della trasmissione non è avvenuta nella fase iniziale.","Tuttavia, la trasmissione del SARS-CoV era considerata come un evento che si verificava quando i pazienti erano gravemente malati, mentre la maggior parte delle trasmissioni non si verificava nella fase iniziale.",40.213,47.202,-6.989,71.453,77.11,-5.657,0.908,0.921,-0.013
"Although these actions have been dramatically damaging the economy and other sectors of the country, the number of new patients is declining, indicating the slowdown of the epidemic.","Sebbene queste azioni stiano danneggiando drasticamente l’economia e altri settori del Paese, il numero di nuovi pazienti sta diminuendo, indicando un rallentamento dell’epidemia.","Sebbene queste azioni abbiano drammaticamente danneggiato l'economia e altri settori del paese, il numero di nuovi pazienti è in calo, indicando il rallentamento dell'epidemia.","Anche se queste azioni hanno avuto un impatto devastante sull'economia e altri settori del paese, il numero di nuovi pazienti è in diminuzione, indicando una riduzione della velocità dell'epidemia.",33.391,25.827,7.564,72.204,57.844,14.36,0.944,0.914,0.03
"Paul Hunter, et al., estimated that COVID-19, which seems substantially more infectious than SARS, will not end in 2020.","Paul Hunter, et al. hanno stimato che il COVID-19, che sembra sensibilmente più infettivo della SARS, non terminerà nel 2020.","Paul Hunter, et al., Ha stimato che COVID-19, che sembra sostanzialmente più infettivo della SARS, non finirà nel 2020.","Paul Hunter e altri hanno stimato che la COVID-19, che sembra essere sostanzialmente più infettiva del SARS, non si concluderà nel 2020.",54.03,22.657,31.373,73.66,66.323,7.337,0.908,0.915,-0.007
"However, promising signs have occurred in China based on the declining number of new cases, indicating the current strategies might have been working.","Tuttavia, sono stati osservati segnali promettenti in Cina sulla base della diminuzione del numero dei nuovi casi, che indica che le strategie attuali potrebbero star funzionando.","Tuttavia, si sono verificati segnali promettenti in Cina sulla base del calo del numero di nuovi casi, indicando che le attuali strategie potrebbero aver funzionato.","Tuttavia, segnali promettenti si sono verificati in Cina sulla base della diminuzione del numero di nuovi casi, indicando che le strategie attuali potrebbero aver funzionato.",26.972,44.93,-17.958,65.865,77.086,-11.221,0.933,0.935,-0.002
"It is possible, similar to SARS-CoV, that SARS-CoV-2 might become weaker in infectivity and eventually die down or become a less pathogenic virus co-existent with humans.","È possibile che, analogamente al SARS-CoV, il SARS-CoV-2 possa indebolirsi in termini di infettività fino ad estinguersi o diventare un virus meno patogeno che coesiste con gli esseri umani.","È possibile, simile al SARS-CoV, che il SARS-CoV-2 diventi più debole nell'infettività e alla fine si estingua o diventi un virus meno patogeno coesistente con l'uomo.","È possibile, simile a quanto accaduto con il SARS-CoV, che il SARS-CoV-2 possa diventare meno infettivo e alla fine diminuire o diventare un virus meno patogeno co-esistente con gli esseri umani.",14.05,31.091,-17.041,52.43,60.522,-8.092,0.881,0.865,0.016
"The virus was also found in feces, which raises a new possibility of feces-to-mouth transmission.","Il virus è stato rinvenuto anche nelle feci, il che apre a una nuova possibilità di trasmissione oro-fecale.","Il virus è stato trovato anche nelle feci, il che solleva una nuova possibilità di trasmissione feci-bocca.","Il virus è stato anche trovato nelle feci, il che solleva una nuova possibilità di trasmissione da feci a bocca.",54.817,45.433,9.384,73.083,69.879,3.204,0.929,0.913,0.016
